Ref,Val,Package,PosX,PosY,Rot,Side
"R184","10k","R_0402_1005Metric",260.050000,-155.399999,180.000000,bottom
"R185","10k","R_0402_1005Metric",104.650000,-233.799999,180.000000,bottom
"R186","10k","R_0402_1005Metric",204.550000,-63.000000,180.000000,bottom
"R187","10k","R_0402_1005Metric",178.650000,-189.000000,180.000000,bottom
"R188","10k","R_0402_1005Metric",112.050000,-29.400000,180.000000,bottom
"R189","10k","R_0402_1005Metric",130.550000,-247.799999,180.000000,bottom
"R190","10k","R_0402_1005Metric",15.850000,-99.399999,180.000000,bottom
"R191","10k","R_0402_1005Metric",241.550000,-163.799999,180.000000,bottom
"R192","10k","R_0402_1005Metric",119.450000,-203.000000,180.000000,bottom
"R193","10k","R_0402_1005Metric",141.650000,-200.200000,180.000000,bottom
"R194","10k","R_0402_1005Metric",163.850000,-169.399999,180.000000,bottom
"R195","10k","R_0402_1005Metric",104.650000,-68.600000,180.000000,bottom
"R196","10k","R_0402_1005Metric",152.750000,-261.799999,180.000000,bottom
"R197","10k","R_0402_1005Metric",223.050000,-93.800000,180.000000,bottom
"R198","10k","R_0402_1005Metric",256.350000,-46.199999,180.000000,bottom
"R199","10k","R_0402_1005Metric",182.350000,-200.200000,180.000000,bottom
"R200","10k","R_0402_1005Metric",56.550000,-32.200000,180.000000,bottom
"R201","10k","R_0402_1005Metric",130.550000,-259.000000,180.000000,bottom
"R202","10k","R_0402_1005Metric",75.050000,-186.200000,180.000000,bottom
"R203","10k","R_0402_1005Metric",119.450000,-270.200000,180.000000,bottom
"R204","10k","R_0402_1005Metric",163.850000,-127.399999,180.000000,bottom
"R205","10k","R_0402_1005Metric",112.050000,-91.000000,180.000000,bottom
"R206","10k","R_0402_1005Metric",100.950000,-256.200000,180.000000,bottom
"R207","10k","R_0402_1005Metric",137.950000,-71.400000,180.000000,bottom
"R208","10k","R_0402_1005Metric",241.550000,-119.000000,180.000000,bottom
"R209","10k","R_0402_1005Metric",167.550000,-60.199999,180.000000,bottom
"R210","10k","R_0402_1005Metric",104.650000,-63.000000,180.000000,bottom
"R211","10k","R_0402_1005Metric",186.050000,-253.399999,180.000000,bottom
"R212","10k","R_0402_1005Metric",141.650000,-222.600000,180.000000,bottom
"R213","10k","R_0402_1005Metric",219.350000,-85.399999,180.000000,bottom
"R214","10k","R_0402_1005Metric",97.250000,-219.799999,180.000000,bottom
"R215","10k","R_0402_1005Metric",82.450000,-259.000000,180.000000,bottom
"R216","10k","R_0402_1005Metric",193.450000,-65.800000,180.000000,bottom
"R217","10k","R_0402_1005Metric",145.350000,-63.000000,180.000000,bottom
"R218","10k","R_0402_1005Metric",71.350000,-169.399999,180.000000,bottom
"R219","10k","R_0402_1005Metric",208.250000,-23.799999,180.000000,bottom
"R220","10k","R_0402_1005Metric",256.350000,-99.399999,180.000000,bottom
"R221","10k","R_0402_1005Metric",152.750000,-85.399999,180.000000,bottom
"R222","10k","R_0402_1005Metric",200.850000,-82.600000,180.000000,bottom
"R223","10k","R_0402_1005Metric",71.350000,-65.800000,180.000000,bottom
"R224","10k","R_0402_1005Metric",112.050000,-186.200000,180.000000,bottom
"R225","10k","R_0402_1005Metric",93.550000,-135.800000,180.000000,bottom
"R226","10k","R_0402_1005Metric",271.150000,-121.800000,180.000000,bottom
"R227","10k","R_0402_1005Metric",49.150000,-200.200000,180.000000,bottom
"R228","10k","R_0402_1005Metric",26.950000,-32.200000,180.000000,bottom
"R229","10k","R_0402_1005Metric",186.050000,-175.000000,180.000000,bottom
"R230","10k","R_0402_1005Metric",34.350000,-65.800000,180.000000,bottom
"R231","10k","R_0402_1005Metric",89.850000,-93.800000,180.000000,bottom
"R232","10k","R_0402_1005Metric",126.850000,-96.600000,180.000000,bottom
"R233","10k","R_0402_1005Metric",93.550000,-105.000000,180.000000,bottom
"R234","10k","R_0402_1005Metric",182.350000,-247.799999,180.000000,bottom
"R235","10k","R_0402_1005Metric",119.450000,-200.200000,180.000000,bottom
"R236","10k","R_0402_1005Metric",100.950000,-102.199999,180.000000,bottom
"R237","10k","R_0402_1005Metric",211.950000,-91.000000,180.000000,bottom
"R238","10k","R_0402_1005Metric",219.350000,-267.399999,180.000000,bottom
"R239","10k","R_0402_1005Metric",186.050000,-247.799999,180.000000,bottom
"R240","10k","R_0402_1005Metric",78.750000,-158.200000,180.000000,bottom
"R241","10k","R_0402_1005Metric",134.250000,-82.600000,180.000000,bottom
